Mouse	Human
9030622O22Rik	[LINC00261]
Bod1l	[BOD1L1]
Mtrfr	[MTRFR]
Tspear	[TSPEAR]
Vps41	[VPS41]
Iars1	[IARS1]
Vps45	[VPS45]
Iars2	[IARS2]
Folr1	[FOLR1]
Folr2	[FOLR3, FOLR2]
Dpagt1	[DPAGT1]
Itih5	[ITIH5]
Itih4	[ITIH4]
Itih3	[ITIH3]
Itih2	[ITIH2]
Apc	[APC]
Itih6	[ITIH6]
Itih1	[ITIH1]
Mrto4-ps2	[MRTO4]
Mrto4-ps1	[MRTO4]
Enox1	[ENOX1]
App	[APP]
Enox2	[ENOX2]
Abcb10	[ABCB10]
Or10g1b	[OR10G2]
Or1ad6	[OR1C1]
Surf6	[SURF6]
Fnip1	[FNIP1]
Fnip2	[FNIP2]
Sh3glb1	[SH3GLB1]
Sh3glb2	[SH3GLB2]
Nfu1	[NFU1]
Cyp1b1	[CYP1B1]
Gsap	[GSAP]
Cxxc1	[CXXC1]
Gsc2	[GSC2]
Bcor	[BCORP1, BCOR]
Cxxc4	[CXXC4]
Scamp3	[SCAMP3]
Cxxc5	[CXXC5]
Scamp2	[SCAMP2]
Scamp1	[SCAMP1]
Scamp5	[SCAMP5]
Aqr	[AQR]
Scamp4	[SCAMP4]
Vps37a	[VPS37A]
Grpel2	[GRPEL2]
Vps37b	[VPS37B]
Vps37c	[VPS37C]
Grpel1	[GRPEL1]
Vps37d	[VPS37D]
Scn10a	[SCN10A]
Cmklr1	[CMKLR1]
Cmklr2	[CMKLR2]
C4b	[C4B, C4A, C4B_2]
Cnot6l	[CNOT6L]
Tram1l1	[TRAM1L1]
C4a	[C4B, C4A]
Arc	[ARC]
Cyp1a1	[CYP1A1]
Svbp	[SVBP]
Cyp1a2	[CYP1A2]
Pcdhb16	[PCDHB13, PCDHB8]
Hnrnpr	[HNRNPR]
Pcdhb17	[PCDHB16]
Arx	[ARX]
Pcdhb18	[PCDHB10, PCDHB9]
Hnrnpu	[HNRNPU]
Pcdhb19	[PCDHB12, PCDHB11]
Saxo5	[SAXO5]
Saxo4	[SAXO4]
Saxo2	[SAXO2]
Saxo1	[SAXO1]
Pcdhb12	[PCDHB5]
Krtap4-8	[KRTAP4-3]
Pcdhb13	[PCDHB6]
Krtap4-7	[KRTAP4-7, KRTAP4-12, KRTAP4-6, KRTAP4-11, KRTAP4-5, KRTAP4-4]
Gse1	[GSE1]
Krtap4-6	[KRTAP4-9, KRTAP4-3]
Pcdhb15	[PCDHB7]
Asl	[ASL]
Pcdhb10	[PCDHB5]
Pcdhb11	[PCDHB5]
Ilrun	[ILRUN]
Krtap4-9	[KRTAP4-3]
Acer1	[ACER1]
Cftr	[CFTR]
Acer2	[ACER2]
Xcr1	[XCR1]
Acer3	[ACER3]
Krtap4-1	[KRTAP4-4]
Lrrn1	[LRRN1]
Or4l15	[OR4L1]
Surf1	[SURF1]
Surf2	[SURF2]
Lrrn2	[LRRN2]
Hnrnpc	[HNRNPC]
Lrrn3	[LRRN3]
Aoc1l1	[AOC1]
Surf4	[SURF4]
Aoc1l2	[AOC1]
Hnrnpd	[HNRNPD]
Lrrn4	[LRRN4]
Aoc1l3	[AOC1]
Hnrnpf	[HNRNPF]
Atm	[ATM]
Pcdhb20	[PCDHB14]
Paics	[PAICS]
Hnrnpk	[HNRNPK]
Pcdhb21	[PCDHB18P, PCDHB11]
Atr	[ATR]
Hnrnpl	[HNRNPL]
Pcdhb22	[PCDHB15]
Hnrnpm	[HNRNPM]
H2ax	[H2AX]
Glt1d1	[GLT1D1]
Aldh3a2	[ALDH3A2]
Aldh3a1	[ALDH3A1]
Il22ra2	[IL22RA2]
Rsf1	[RSF1]
Gsg1	[GSG1]
Auh	[AUH]
Rsrc2	[RSRC2]
Pdrg1	[PDRG1]
Tyk2	[TYK2]
Rsrc1	[RSRC1]
Lelp1	[LELP1]
Glycam1	[GLYCAM1]
C8b	[C8B]
C8a	[C8A]
H2aj	[H2AJ]
C8g	[C8G]
Nfx1	[NFX1]
H2ap	[H2AP]
Avp	[AVP]
Rsl24d1	[RSL24D1]
Svil	[SVIL]
Nfyb	[NFYB]
Nfya	[NFYA]
Deptor	[DEPTOR]
Gapdhrt	[GAPDH]
Nfyc	[NFYC]
Igkv3-1	[IGKV3-7, IGKV3D-20, IGKV3-15, IGKV3D-11, IGKV3D-7, IGKV3-11, IGKV3D-15, IGKV3OR2-268, IGKV3-20]
Or10g3b	[OR10G3]
Igkv3-2	[IGKV3-7, IGKV3D-20, IGKV3-15, IGKV3D-11, IGKV3D-7, IGKV3-11, IGKV3D-15, IGKV3OR2-268, IGKV3-20]
Scn11a	[SCN11A]
Lmcd1	[LMCD1]
Svip	[SVIP]
Abcb1a	[ABCB1]
Abcb1b	[ABCB1]
Igkv3-7	[IGKV3-7, IGKV3D-20, IGKV3-15, IGKV3D-11, IGKV3D-7, IGKV3-11, IGKV3D-15, IGKV3OR2-268, IGKV3-20]
Sec14l1	[SEC14L1]
Igkv3-9	[IGKV3-7, IGKV3D-20, IGKV3-15, IGKV3D-11, IGKV3D-7, IGKV3-11, IGKV3D-15, IGKV3OR2-268, IGKV3-20]
Sec14l2	[SEC14L2]
Sec14l3	[SEC14L3]
Igkv3-3	[IGKV3-7, IGKV3D-20, IGKV3-15, IGKV3D-11, IGKV3D-7, IGKV3-11, IGKV3D-15, IGKV3OR2-268, IGKV3-20]
Sec14l4	[SEC14L4]
Igkv3-4	[IGKV3-7, IGKV3D-20, IGKV3-15, IGKV3D-11, IGKV3D-7, IGKV3-11, IGKV3D-15, IGKV3OR2-268, IGKV3-20]
Sec14l5	[SEC14L5]
Emc2	[EMC2]
Igkv3-5	[IGKV3-7, IGKV3D-20, IGKV3-15, IGKV3D-11, IGKV3D-7, IGKV3-11, IGKV3D-15, IGKV3OR2-268, IGKV3-20]
Qpct	[QPCT]
Emc1	[EMC1]
Sebox	[SEBOX]
Tmub1	[TMUB1]
Emc4	[EMC4]
Emc3	[EMC3]
Emc6	[EMC6]
Emc8	[EMC8]
Emc7	[EMC7]
Tmub2	[TMUB2]
Emc9	[EMC9]
Mcub	[MCUB]
Qrfprl	[QRFPR]
AU021092	[C16orf89]
Pbld1	[PBLD]
Il22ra1	[IL22RA1]
Axl	[AXL]
Iglon5	[IGLON5]
Aarsd1	[AARSD1, PTGES3L-AARSD1]
Gm30191	[C1orf232]
Pbld2	[PBLD]
Abcb11	[ABCB11]
Creg2	[CREG2]
Creg1	[CREG1]
Rsrp1	[RSRP1]
Timm17a	[TIMM17A]
Timm17b	[TIMM17B]
Or10g9b	[OR10G4, OR10G8, OR10G9]
Emcn	[EMCN]
Eme2	[EME2]
Eme1	[EME1]
Dkkl1	[DKKL1]
Tymp	[TYMP]
Tyms	[TYMS]
Eif4a3l2	[EIF4A3]
Eif4a3l1	[EIF4A3]
Actmap	[ACTMAP]
4930562C15Rik	[C16orf96]
Rsl1	[ZNF429]
Ighv8-11	[IGHV2-70, IGHV2-5, IGHV2-70D, IGHV2-26, IGHV2OR16-5]
Ighv8-12	[IGHV2-70, IGHV2-5, IGHV2-70D, IGHV2-26, IGHV2OR16-5]
Ighv8-13	[IGHV2-70, IGHV2-5, IGHV2-70D, IGHV2-26, IGHV2OR16-5]
Rccd1	[RCCD1]
Xxylt1	[XXYLT1]
A130010J15Rik	[C1orf74]
Pmf1	[PMF1-BGLAP, PMF1]
Csf2rb2	[CSF2RB]
Emg1	[EMG1]
Tom1l2	[TOM1L2]
Tom1l1	[TOM1L1]
Aldh3b1	[ALDH3B1]
Nsfl1c	[NSFL1C]
Aldh3b3	[ALDH3B2]
Pmch	[PMCH, PMCHL1, PMCHL2]
Tarm1	[TARM1]
Cltrn	[CLTRN]
Aldh3b2	[ALDH3B2]
Fpgt	[FPGT]
Zscan4-ps1	[ZSCAN4]
Fpgs	[FPGS]
Zscan4-ps2	[ZSCAN4]
mt-Cytb	[CYTB]
Tvp23b	[TVP23B, TVP23C, TVP23C-CDRT4]
Tvp23a	[TVP23A]
Zap70	[ZAP70]
Igkv8-19	[IGKV4-1]
Igkv8-18	[IGKV4-1]
Svop	[SVOP]
Igkv8-16	[IGKV4-1]
Aqp12	[AQP12B, AQP12A]
Aqp11	[AQP11]
Lingo4	[LINGO4]
Sdf2l1	[SDF2L1]
Cdadc1	[CDADC1]
Lingo3	[LINGO3]
Lingo2	[LINGO2]
Lingo1	[LINGO1]
Cgas	[CGAS]
Stmnd1	[STMND1]
Igkv8-21	[IGKV4-1]
Baiap3	[BAIAP3]
Baiap2	[BAIAP2]
Cks1b	[CKS1B]
Creb1	[CREB1]
Pmel	[PMEL]
Creb3	[CREB3]
Igkv8-28	[IGKV4-1]
Igkv8-27	[IGKV4-1]
Igkv8-26	[IGKV4-1]
Igkv8-24	[IGKV4-1]
Vps33a	[VPS33A]
Atp5mc1	[ATP5MC1]
Vps33b	[VPS33B]
Creb5	[CREB5]
Atp5mc3	[ATP5MC3]
Rskr	[RSKR]
Atp5mc2	[ATP5MC2]
Hapstr1	[HAPSTR1]
Enpep	[ENPEP]
Igkv8-34	[IGKV4-1]
Igkv8-30	[IGKV4-1]
Fundc2	[FUNDC2]
Fundc1	[FUNDC1]
Trav16d-dv11	[TRAV19]
Hmg20a	[HMG20A]
Hmg20b	[HMG20B]
Trbv3	[TRBV2]
Donson	[DONSON]
Trbv5	[TRBV4-1, TRBV4-2, TRBV4-3]
Tyw1	[TYW1, TYW1B]
Trbv4	[TRBV3-1]
Kcnab1	[KCNAB1]
Kcnab2	[KCNAB2]
Pot1b	[POT1]
Pot1a	[POT1]
Kcnab3	[KCNAB3]
Oscar	[OSCAR]
Bad	[BAD]
Shld3	[SHLD3]
Timm10b	[TIMM10B]
Shld1	[SHLD1]
Shld2	[SHLD2]
Ctnnbip1	[CTNNBIP1]
Vps35l	[VPS35L]
BC004004	[C6orf89]
Bax	[BAX]
Dennd3	[DENND3]
Lman1	[LMAN1]
Mdc1	[MDC1]
Ptdss1	[PTDSS1]
Stmp1	[STMP1]
Ngdn	[NGDN]
Lman2	[LMAN2]
Ptdss2	[PTDSS2]
Clvs1	[CLVS1]
Or1a1b	[OR1A2, OR1A1]
Smim23	[SMIM23]
Smim22	[SMIM22]
Clvs2	[CLVS2]
Smim20	[SMIM20]
Smim15	[SMIM15]
Smim14	[SMIM14]
Smim13	[SMIM13]
Dapl1	[DAPL1]
AI593442	[C11orf87]
Smim19	[SMIM19]
Gm31526	[ZNF845]
Smim18	[SMIM18]
Smim17	[SMIM17]
Bbx	[BBX]
Rnf113a1	[RNF113A]
Rab11b	[RAB11B]
Vwa5b1	[VWA5B1]
Rnf113a2	[RNF113A]
Rab11a	[RAB11A]
Vwa5b2	[VWA5B2]
U2surp	[U2SURP]
Ngef	[NGEF]
Supt3	[SUPT3H]
Gm5566	[NME1-NME2]
Supt5	[SUPT5H]
Or2d3c	[OR2D3]
Smim30	[SMIM30]
Tyw3	[TYW3]
Or2d3b	[OR2D3]
Tyw5	[TYW5]
Eml1	[EML1]
Smim34	[SMIM34]
Sec61g-ps3	[SEC61G]
Smim33	[SMIM33]
Eml3	[EML3]
Sec61g-ps2	[SEC61G]
Smim32	[SMIM32]
Eml2	[EML2]
Sec61g-ps1	[SEC61G]
Smim31	[SMIM31]
Bcr	[BCR]
Eml5	[EML5]
Smim27	[SMIM27]
Smim26	[SMIM26]
Eml4	[EML4]
Eml6	[EML6]
Smim24	[SMIM24]
Snap47	[SNAP47]
Dapk1	[DAPK1]
Smim29	[SMIM29]
Dapk2	[DAPK2]
Avpr1b	[AVPR1B]
Dapk3	[DAPK3]
Supt6	[SUPT6H]
Avpr1a	[AVPR1A]
Gabarap	[GABARAP]
Ngfr	[NGFR]
Stmn1	[STMN1]
Fpr1	[FPR1]
Fpr3	[FPR3, FPR2]
Fpr2	[FPR2]
Rspry1	[RSPRY1]
Mir24-1	[MIR24-1]
Mir24-2	[MIR24-2]
Stmn2	[STMN2]
Stmn3	[STMN3]
Rsu1	[RSU1]
Stmn4	[STMN4]
Igsf23	[IGSF23]
Igsf21	[IGSF21]
Gm6871	[ZNF670]
Pmm2	[PMM2]
Myadml2	[MYADML2]
Pmm1	[PMM1]
Smim12	[SMIM12]
Aaas	[AAAS]
Smim11	[SMIM11]
Snap29	[SNAP29]
Snap25	[SNAP25]
Spaar	[SPAAR]
Dnttip2	[DNTTIP2]
Snap23	[SNAP23]
Dnttip1	[DNTTIP1]
L1td1	[L1TD1]
Manbal	[MANBAL]
Rpusd4	[RPUSD4]
Rpusd2	[RPUSD2]
Rpusd3	[RPUSD3]
Lad1	[LAD1]
Rpusd1	[RPUSD1]
Tigd3	[TIGD3]
Moap1	[MOAP1]
Tigd2	[TIGD2]
Tigd5	[TIGD5]
Tigd4	[TIGD4]
Mdfi	[MDFI]
Bgn	[BGN]
Emp1	[EMP1]
Rspo1	[RSPO1]
Tlr12	[TLR12P]
Rspo3	[RSPO3]
Emp3	[EMP3]
Emp2	[EMP2]
Rspo2	[RSPO2]
Gpha2	[GPHA2]
Rspo4	[RSPO4]
Aacs	[AACS]
Meiosin	[MEIOSIN]
Bdh2	[BDH2]
Bdh1	[BDH1]
Cyp20a1	[CYP20A1]
Aldh1l1	[ALDH1L1]
Pmp2	[PMP2]
Aldh1l2	[ALDH1L2]
Mir22hg	[MIR22HG]
Champ1	[CHAMP1]
Mef2d	[MEF2D]
Gphb5	[GPHB5]
Anapc15-ps	[ANAPC15]
Or56a3b	[OR56A3]
Nfam1	[NFAM1]
Pms2	[PMS2P6, PMS2, PMS2P2, PMS2P1]
Bid	[BID]
Pms1	[PMS1]
Hinfp	[HINFP]
Ecpas	[ECPAS]
Pcmt1	[PCMT1]
Veph1	[VEPH1]
Mdh1	[MDH1]
Gsx2	[GSX2]
Mdh2	[MDH2]
Bik	[BIK]
Gsx1	[GSX1]
Qprt	[QPRT]
Bsph1	[BSPH1]
Mef2a	[MEF2A]
Mef2b	[BORCS8-MEF2B, MEF2B]
Tigar	[TIGAR]
Mef2c	[MEF2C]
Asrgl1	[ASRGL1]
Brme1	[BRME1]
Gm5591	[C2orf78]
Gm5592	[C2orf78]
Rcan1	[RCAN1]
Rcan2	[RCAN2]
Rcan3	[RCAN3]
Mir378a	[MIR378A]
Emsy	[EMSY]
Pptc7	[PPTC7]
Luzp1	[LUZP1]
Luzp2	[LUZP2]
Rita1	[RITA1]
Cdkal1	[CDKAL1]
H2-Ab1	[HLA-DQB2, HLA-DQB1]
Lag3	[LAG3]
Snrnp70	[SNRNP70]
Dzank1	[DZANK1]
Kcna10	[KCNA10]
Spam1	[SPAM1]
Mtmr10	[MTMR10]
Mtmr14	[MTMR14]
Mtmr12	[MTMR12]
Mtmr11	[MTMR11]
Trak1	[TRAK1]
Traip	[TRAIP]
Trak2	[TRAK2]
Blk	[BLK]
Snrnp40	[SNRNP40]
Blm	[BLM]
Snrnp48	[SNRNP48]
Mir376c	[MIR376C]
Mir376b	[MIR376B]
Mir376a	[MIR376A1]
Psapl1	[PSAPL1]
Tfcp2l1	[TFCP2L1]
Bmf	[BMF]
Mdn1	[MDN1]
Apmap	[APMAP]
Igsf9b	[IGSF9B]
Dhcr7	[DHCR7]
Fam43a	[FAM43A]
Mpdu1	[MPDU1]
Bmx	[BMX]
Fam43b	[FAM43B]
Natd1	[NATD1]
Mdm2	[MDM2]
Aak1	[AAK1]
Mdm4	[MDM4]
Mdm1	[MDM1]
Traf7	[TRAF7]
Mir374c	[MIR374C]
Erlec1	[ERLEC1]
Mir374b	[MIR374B]
Traf4	[TRAF4]
Gm17251	[RAB11B-AS1]
Bdnf	[BDNF]
Traf3	[TRAF3]
Traf6	[TRAF6]
Traf5	[TRAF5]
Snrnp25	[SNRNP25]
Snrnp27	[SNRNP27]
Or5m9b	[OR5M9]
Tradd	[TRADD]
Boc	[BOC]
Traf2	[TRAF2]
Hus1b	[HUS1B]
Traf1	[TRAF1]
Mdp1	[MDP1]
Syngap1	[SYNGAP1]
Bok	[BOK]
Emx1	[EMX1]
Emx2	[EMX2]
Npc1l1	[NPC1L1]
Snrnp35	[SNRNP35]
Pmvk	[PMVK]
Bpi	[BPI]
Bdp1	[BDP1]
Or2d2b	[OR2D2]
U2af1	[U2AF1]
Tigit	[TIGIT]
Tapt1	[TAPT1]
Trabd	[TRABD]
U2af2	[U2AF2]
Gm17266	[C18orf63]
Nfasc	[NFASC]
Gm18596	[KRTAP10-4, KRTAP10-6, KRTAP10-1]
Rps6-ps4	[RPS6]
Spag1	[SPAG1]
Emilin1	[EMILIN1]
Emilin2	[EMILIN2]
Emilin3	[EMILIN3]
Spag9	[SPAG9]
Ngrn	[NGRN]
Nfat5	[NFAT5]
Spag7	[SPAG7]
Spag8	[SPAG8]
Spag5	[SPAG5]
Spag6	[SPAG6]
Or2d36	[OR2D3]
Spag4	[SPAG4]
Aamp	[AAMP]
Spart	[SPART]
Fcho1	[FCHO1]
Gpatch11	[GPATCH11]
Fcho2	[FCHO2]
Lrrfip1	[LRRFIP1]
Lrrfip2	[LRRFIP2]
Bsg	[BSG]
Bsn	[BSN]
Cyp2d9	[CYP2D7, CYP2D6]
Fermt1	[FERMT1]
Chit1	[CHIT1]
Spast	[SPAST]
Bsx	[BSX]
Phlpp1	[PHLPP1]
Fermt3	[FERMT3]
Phlpp2	[PHLPP2]
Fermt2	[FERMT2]
Btc	[BTC]
Sirpb1a	[SIRPG, SIRPB1]
Btd	[BTD]
Sirpb1b	[SIRPG, SIRPB1]
Btk	[BTK]
Hip1r	[HIP1R]
Coq10a	[COQ10A]
Coq10b	[COQ10B]
Lap3	[LAP3]
H3c8	[H3C8, H3C11, H3C12, H3C1, H3C10, H3C3, H3C2]
Hint1	[HINT1]
Hint2	[HINT2]
Tbxa2r	[TBXA2R]
Hint3	[HINT3]
Rtf2	[RTF2]
Or10h1b	[OR10H1, OR10H2]
Rtf1	[RTF1]
Mir106a	[MIR106A]
Mir106b	[MIR106B]
AU022252	[C1orf50]
Wapl	[WAPL]
Trap1	[TRAP1]
Or10h28	[OR10H3, OR10H4]
Cyp2f2	[CYP2F2P, CYP2F1]
Swi5	[SWI5]
Chtf18	[CHTF18]
Secisbp2l	[SECISBP2L]
Aar2	[AAR2]
Rtcb	[RTCB]
Rtca	[RTCA]
Sec62	[SEC62]
Aard	[AARD]
Sec63	[SEC63]
Sparc	[SPARC]
Cyp2e1	[CYP2E1]
H3c1	[H3C8, H3C11, H3C1, H3C10, H3C3, H3C2, H3C4]
H3c3	[H3C13, H3C14]
Rpl36al	[RPL36AL, RPL36A]
H3c2	[H3C15, H3C13, H3C14, H3C10]
H3c4	[H3C15, H3C13, H3C14, H3C1]
H3c7	[H3C15, H3C14]
H3c6	[H3C15, H3C13, H3C14, H3C11]
Cmya5	[CMYA5]
Spc24	[SPC24]
Spc25	[SPC25]
Enah	[ENAH]
Enam	[ENAM]
Enc1	[ENC1]
Krtap5-5	[KRTAP5-5]
H3f5	[H3-5]
Krtap5-4	[KRTAP5-10, KRTAP5-9, KRTAP5-7, KRTAP5-11, KRTAP5-3, KRTAP5-2]
Nploc4	[NPLOC4]
Spty2d1	[SPTY2D1]
Krtap5-2	[KRTAP5-2]
