Regulator	RegulatoryEffect	TargetGene
TNF	upregulates-expression	ANGPT1
PAX5	downregulates-expression	MMP1
E2F1	downregulates-expression	PDK4
REL	upregulates-expression	CSRP1
TP53	upregulates-expression	FLT1
BCL6	downregulates-expression	HDAC7
ZBTB16	downregulates-expression	CCNA2
MYCN	upregulates-expression	MCM7
MYCN	upregulates-expression	MCM8
MYCN	upregulates-expression	MCM2
MYCN	upregulates-expression	MCM3
MYCN	upregulates-expression	MCM4
MYCN	upregulates-expression	MCM5
MYCN	upregulates-expression	MCM6
ATF2	upregulates-expression	APOC3
NR1D1	downregulates-expression	NPAS2
POLR2J	upregulates-expression	FANCD2
POLR2K	upregulates-expression	FANCD2
POLR2L	upregulates-expression	FANCD2
POLR2F	upregulates-expression	FANCD2
POLR2G	upregulates-expression	FANCD2
POLR2H	upregulates-expression	FANCD2
POLR2I	upregulates-expression	FANCD2
POLR2B	upregulates-expression	FANCD2
POLR2C	upregulates-expression	FANCD2
POLR2D	upregulates-expression	FANCD2
POLR2E	upregulates-expression	FANCD2
POLR2A	upregulates-expression	FANCD2
NFKB1	downregulates-expression	GKN2
BRCA1	upregulates-expression	SIRT1
MUC1	upregulates-expression	STAT5B
CARM1	upregulates-expression	SLC27A1
YBX1	downregulates-expression	CDC20
HIF1A	upregulates-expression	ALDOA
ALDOA	upregulates-expression	HIF1A
MUC1	upregulates-expression	STAT5A
SATB1	downregulates-expression	IL5
ESR1	upregulates-expression	CTSD
PIAS3	upregulates-expression	ATF1
EGR1	downregulates-expression	IL6
EGR2	downregulates-expression	IL2
EGR3	downregulates-expression	IL2
E2F1	upregulates-expression	PPP1R13B
PPP1R13B	upregulates-expression	E2F1
PPP1R13B	upregulates-expression	E2F2
PPP1R13B	upregulates-expression	E2F3
GATA1	upregulates-expression	CDA
TBL1XR1	upregulates-expression	FDFT1
GATA1	upregulates-expression	CA1
ZNF267	downregulates-expression	MMP10
EZH2	downregulates-expression	DACT3
MYC	downregulates-expression	MXD4
TCF12	upregulates-expression	MYB
HNRNPA1	downregulates-expression	KLK3
ATF2	upregulates-expression	POLB
SMAD3	upregulates-expression	PTPN2
MXI1	downregulates-expression	MYC
BRCA1	upregulates-expression	MDM2
HNF4A	upregulates-expression	TTR
REST	downregulates-expression	TAC1
ZNF148	downregulates-expression	VIM
RELA	upregulates-expression	SNAI1
NFKB1	downregulates-expression	PDK4
SMAD3	upregulates-expression	PTPN7
SMAD3	upregulates-expression	PTPN9
SMAD3	upregulates-expression	PTPN4
SMAD3	upregulates-expression	PTPN5
SMAD3	upregulates-expression	PTPN6
TP63	upregulates-expression	ATM
ZFHX3	downregulates-expression	MYF6
LMO3	downregulates-expression	HES1
DLX3	downregulates-expression	GLI2
DLX5	downregulates-expression	GLI2
APP	downregulates-expression	CTNNB1
TP63	upregulates-expression	AXL
NFKB1	upregulates-expression	MUC2
CCND1	downregulates-expression	HBP1
HBP1	downregulates-expression	CCND1
NOTCH3	downregulates-expression	APOD
CCND3	downregulates-expression	HBP1
SPP1	upregulates-expression	GLI1
ARHGAP26	upregulates-expression	CTNNB1
EGR1	downregulates-expression	FAS
FAS	downregulates-expression	EGR1
CCNE1	downregulates-expression	HBP1
XBP1	upregulates-expression	GSK3A
CREBBP	upregulates-expression	VEGFA
PPARG	upregulates-expression	POU2F1
HERC5	upregulates-expression	MYC
SOX2	upregulates-expression	PGA5
TP53	upregulates-expression	OGG1
TP63	upregulates-expression	ADA
IL18RAP	upregulates-expression	NOS2
JUN	upregulates-expression	KLK3
TP73	upregulates-expression	ADA
TP73	upregulates-expression	AEN
TP63	upregulates-expression	OGG1
MECP2	downregulates-expression	DLL1
IL10	upregulates-expression	TIMP1
RANBP9	upregulates-expression	KLK3
TP53	upregulates-expression	HIPK2
XBP1	upregulates-expression	SYVN1
EP300	upregulates-expression	DNMT1
DNMT1	upregulates-expression	EP300
SREBF2	upregulates-expression	SQLE
SQLE	upregulates-expression	SREBF2
SREBF1	upregulates-expression	SQLE
SQLE	upregulates-expression	SREBF1
TCF3	upregulates-expression	MYB
TCF4	upregulates-expression	MYC
RUNX1	upregulates-expression	CR1
MYB	downregulates-expression	MYF6
CBFB	upregulates-expression	OCLN
EWSR1	upregulates-expression	TERT
PPARA	upregulates-expression	CPT2
VAV3	downregulates-expression	GLI2
E2F1	upregulates-expression	MT1G
MT1G	upregulates-expression	E2F1
HIF1A	upregulates-expression	ALAS2
SP1	upregulates-expression	KIF2C
KIF2C	upregulates-expression	SP1
NFKBIB	downregulates-expression	IFNB1
NFKBIA	downregulates-expression	IFNB1
CTDP1	upregulates-expression	ATR
CTDP1	upregulates-expression	ATM
DIABLO	upregulates-expression	E2F1
TCEA1	upregulates-expression	FANCI
KLF4	downregulates-expression	RARA
ZBTB7A	downregulates-expression	SLC2A3
CDKN2A	downregulates-expression	AURKB
GATA3	upregulates-expression	ERG
AR	upregulates-expression	VEGFA
POLR2I	upregulates-expression	BRCA1
POLR2J	upregulates-expression	BRCA1
POLR2K	upregulates-expression	BRCA1
POLR2L	upregulates-expression	BRCA1
NCOA3	upregulates-expression	NRIP1
POLR2A	upregulates-expression	BRCA1
POLR2B	upregulates-expression	BRCA1
POLR2C	upregulates-expression	BRCA1
POLR2D	upregulates-expression	BRCA1
POLR2E	upregulates-expression	BRCA1
POLR2F	upregulates-expression	BRCA1
POLR2G	upregulates-expression	BRCA1
POLR2H	upregulates-expression	BRCA1
MDC1	upregulates-expression	BRCA1
BRCA1	upregulates-expression	MDC1
TFDP1	upregulates-expression	CCND3
TCF7L1	upregulates-expression	MYC
TCF7L2	upregulates-expression	MYC
MYC	upregulates-expression	TCF7L2
NFIL3	downregulates-expression	PER2
TFDP1	upregulates-expression	CCNE1
TFDP2	upregulates-expression	CCNE1
TFDP2	upregulates-expression	CCNE2
RXRA	upregulates-expression	CPT1A
RXRA	upregulates-expression	CPT1B
SCD	upregulates-expression	HNF1A
TP53	upregulates-expression	BAX
TP63	upregulates-expression	BAX
VIM	downregulates-expression	TCF7L2
XBP1	upregulates-expression	PDIA5
XBP1	upregulates-expression	PDIA6
TP73	upregulates-expression	BAX
STAT3	upregulates-expression	CISH
TFDP1	upregulates-expression	CCNA1
TFDP2	upregulates-expression	CCNA1
STAT3	upregulates-expression	LCN2
ETS1	upregulates-expression	TGFBR2
TIMP3	downregulates-expression	FOXO1
CREBBP	upregulates-expression	ADIPOQ
HOXB7	downregulates-expression	CDKN1B
E2F4	downregulates-expression	PCNA
E2F5	downregulates-expression	PCNA
TP53	upregulates-expression	BID
NFYA	upregulates-expression	HOXB4
DDIT3	upregulates-expression	TRIB3
DAPK2	downregulates-expression	CTNNB1
SP1	upregulates-expression	CYP27A1
SP3	upregulates-expression	CYP27A1
HIST2H2AC	upregulates-expression	KDM4B
GLS2	upregulates-expression	HNF1A
FOXO3	upregulates-expression	TXNIP
TP53	upregulates-expression	LIF
ZBTB17	downregulates-expression	ITGB1
ZBTB17	downregulates-expression	ITGB4
ZBTB17	downregulates-expression	ITGA6
CHD9	upregulates-expression	AGT
ESR1	upregulates-expression	CXCL12
HLA-DRA	upregulates-expression	IFNG
CALCOCO1	upregulates-expression	TFF1
SPP1	upregulates-expression	SMAD1
RARA	upregulates-expression	RARB
NR2F1	downregulates-expression	MTTP
CLOCK	upregulates-expression	NOCT
TNIK	upregulates-expression	MYC
YY1	downregulates-expression	CREBBP
ERCC2	upregulates-expression	CHEK1
ERCC3	upregulates-expression	CHEK1
ARNTL	upregulates-expression	SERPINE1
FOS	upregulates-expression	CBFB
ZNF24	upregulates-expression	CCND1
EBI3	downregulates-expression	IL2
ZIC1	upregulates-expression	FAM57A
ARNT	upregulates-expression	EGLN1
ARNT	upregulates-expression	EGLN3
RAG2	upregulates-expression	RAG1
RAG1	upregulates-expression	RAG2
CCNT1	upregulates-expression	RAD51D
CCNT2	upregulates-expression	RAD51D
MDM2	upregulates-expression	DNMT3A
TGFB1	downregulates-expression	PPARG
HIST2H2BE	upregulates-expression	KDM4B
JUN	upregulates-expression	KRT16
JUN	upregulates-expression	KRT17
SP1	upregulates-expression	THBD
PROX1	downregulates-expression	TWIST1
SMAD2	upregulates-expression	JUNB
SMAD3	upregulates-expression	JUNB
SMAD4	upregulates-expression	JUNB
IFNG	downregulates-expression	TERT
PRKCB	upregulates-expression	SELE
PRKCD	upregulates-expression	SELE
PRKCE	upregulates-expression	SELE
PRKCA	upregulates-expression	SELE
ITGA1	upregulates-expression	CTNNB1
PRKCG	upregulates-expression	SELE
PRKCH	upregulates-expression	SELE
PRKCQ	upregulates-expression	SELE
MCM8	upregulates-expression	NFYA
RUNX1	upregulates-expression	NR4A3
LIN52	downregulates-expression	E2F1
LIN54	downregulates-expression	E2F1
NCOA1	upregulates-expression	CPT1A
NCOA2	upregulates-expression	CPT1A
NCOA6	upregulates-expression	CPT1A
TP53	upregulates-expression	FANCC
LIN37	downregulates-expression	E2F1
POLD1	upregulates-expression	E2F4
POLD1	upregulates-expression	E2F1
ELOA	upregulates-expression	MDC1
ELOB	upregulates-expression	MDC1
ELOC	upregulates-expression	MDC1
POLE3	upregulates-expression	E2F1
POLE3	upregulates-expression	E2F2
POLE3	upregulates-expression	E2F3
POLE3	upregulates-expression	E2F4
POLE2	upregulates-expression	E2F1
YY1	downregulates-expression	E2F1
AGO1	downregulates-expression	GREB1
AGO2	downregulates-expression	GREB1
AGO3	downregulates-expression	GREB1
NFKB1	downregulates-expression	YY1
AGO4	downregulates-expression	GREB1
STAT3	upregulates-expression	CCND1
CCND1	upregulates-expression	STAT3
STAT3	upregulates-expression	CCND3
ELF1	upregulates-expression	IL2RA
MYB	upregulates-expression	TOM1
E2F3	upregulates-expression	POLA1
E2F1	upregulates-expression	POLA1
POLA1	upregulates-expression	E2F1
CBFB	upregulates-expression	AXIN1
GATA1	upregulates-expression	PF4
PDX1	upregulates-expression	HNF1A
HNF1A	upregulates-expression	PDX1
TWIST1	downregulates-expression	HES1
SNW1	upregulates-expression	SMAD7
SMAD3	upregulates-expression	BCL2L11
SMAD4	upregulates-expression	BCL2L11
CHD9	upregulates-expression	GLIPR1
GTF3A	upregulates-expression	COL1A1
JUN	downregulates-expression	VEGFA
PPARGC1B	upregulates-expression	ATP5F1B
RUVBL1	upregulates-expression	HSPD1
SPI1	upregulates-expression	PRG2
TYK2	upregulates-expression	CD4
RUVBL2	upregulates-expression	HSPD1
ASCL1	downregulates-expression	PCSK6
PHB2	downregulates-expression	C3
ZBTB17	upregulates-expression	CCL5
CHD9	upregulates-expression	FABP1
CIITA	upregulates-expression	HLA-C
CIITA	upregulates-expression	HLA-A
CIITA	upregulates-expression	HLA-B
HIST2H2AC	upregulates-expression	MYC
FOS	upregulates-expression	CCN1
JDP2	downregulates-expression	ATF3
WWP1	downregulates-expression	TGFBR1
NCOA1	upregulates-expression	CDKN1A
IFI16	downregulates-expression	ICAM1
RUNX1	upregulates-expression	MYB
CD3D	upregulates-expression	FOS
CD3E	upregulates-expression	FOS
CD3G	upregulates-expression	FOS
HEY1	downregulates-expression	ACTA2
HEY2	downregulates-expression	ACTA2
HIST2H2BE	upregulates-expression	MYC
MAX	upregulates-expression	TP53
ATF2	upregulates-expression	HBG2
MAX	downregulates-expression	MXD4
HIST1H2BA	upregulates-expression	KLK2
HIST1H2BB	upregulates-expression	KLK2
HIST1H2BA	upregulates-expression	KLK3
HIST1H2BB	upregulates-expression	KLK3
HIST1H2BD	upregulates-expression	KLK2
HIST1H2BD	upregulates-expression	KLK3
HIST1H2BG	upregulates-expression	KLK2
NF1	upregulates-expression	TP53
HIST1H2AJ	upregulates-expression	KLK2
HIST1H2AJ	upregulates-expression	KLK3
TGS1	upregulates-expression	ANGPTL4
HIST1H2BO	upregulates-expression	KLK3
HIST1H2BH	upregulates-expression	KLK2
HIST1H2BG	upregulates-expression	KLK3
HIST1H2BH	upregulates-expression	KLK3
HIST1H2BJ	upregulates-expression	KLK2
HIST1H2BJ	upregulates-expression	KLK3
HIST1H2BK	upregulates-expression	KLK2
HIST1H2BL	upregulates-expression	KLK2
HIST1H2BK	upregulates-expression	KLK3
HIST1H2BM	upregulates-expression	KLK2
HIST1H2BL	upregulates-expression	KLK3
HIST1H2BN	upregulates-expression	KLK2
HIST1H2BM	upregulates-expression	KLK3
HIST1H2BN	upregulates-expression	KLK3
HIST1H2BO	upregulates-expression	KLK2
CDX2	upregulates-expression	AXIN2
HIST1H2AB	upregulates-expression	KLK2
HIST1H2AC	upregulates-expression	KLK2
HIST1H2AB	upregulates-expression	KLK3
HIST1H2AD	upregulates-expression	KLK2
HIST1H2AC	upregulates-expression	KLK3
HIST1H2AD	upregulates-expression	KLK3
ID4	downregulates-expression	BRCA1
ETS1	upregulates-expression	TFAP2A
TFAP2A	upregulates-expression	ETS1
CLDN4	upregulates-expression	STAT2
CBFB	upregulates-expression	IHH
SNAI1	downregulates-expression	PEBP1
CHD9	upregulates-expression	G0S2
HDAC1	downregulates-expression	SPP1
CBFB	upregulates-expression	IL3
MED1	upregulates-expression	CEBPA
MED6	upregulates-expression	CEBPA
MED7	upregulates-expression	CEBPA
MED8	upregulates-expression	CEBPA
MED9	upregulates-expression	CEBPA
MED4	upregulates-expression	CEBPA
SP1	upregulates-expression	KISS1
KAT5	upregulates-expression	GPAM
MYC	downregulates-expression	MST1
CTDP1	upregulates-expression	FANCI
SMARCD3	upregulates-expression	ACOX1
ZEB1	downregulates-expression	CDH1
ZEB2	downregulates-expression	CDH1
TLX1	upregulates-expression	NR4A3
FOS	upregulates-expression	CDK1
HAND2	upregulates-expression	PHOX2A
MYC	upregulates-expression	TP53
CREB1	upregulates-expression	IGHA1
DBP	upregulates-expression	ALDOB
TFDP1	upregulates-expression	DHFR
CDK12	upregulates-expression	BRCA1
MYC	upregulates-expression	TP73
SPI1	upregulates-expression	IFIT3
APAF1	downregulates-expression	E2F6
E2F6	downregulates-expression	APAF1
E2F7	downregulates-expression	APAF1
E2F8	downregulates-expression	APAF1
CEBPD	upregulates-expression	IL23A
SUPT3H	upregulates-expression	TERT
IRF1	downregulates-expression	BCL2
IRF4	downregulates-expression	BCL6
BCL6	downregulates-expression	IRF4
AHR	upregulates-expression	CYP1B1
MLX	upregulates-expression	ACACA
MLX	upregulates-expression	ACACB
AHR	upregulates-expression	CYP1A1
SREBF1	upregulates-expression	SC5D
SREBF2	upregulates-expression	SC5D
TFAP2A	upregulates-expression	NME3
HP	upregulates-expression	CEBPA
HP	upregulates-expression	CEBPB
STAT6	upregulates-expression	CCL26
EGR1	upregulates-expression	E2F1
TFAP2A	upregulates-expression	ESR1
TFAP2C	upregulates-expression	ESR1
CEBPA	upregulates-expression	F9
AES	upregulates-expression	LEF1
MED1	upregulates-expression	NPAS2
IRF1	upregulates-expression	EIF2AK2
CXCL12	downregulates-expression	CTNNB1
HIF1A	upregulates-expression	CTGF
NPAS2	upregulates-expression	F7
IRF1	upregulates-expression	HLA-A
NFKB1	upregulates-expression	EGFR
CDX2	upregulates-expression	GCG
SREBF1	upregulates-expression	SCD5
IL27	upregulates-expression	IFNG
CREBBP	upregulates-expression	EDN1
IL18	upregulates-expression	IFNG
SREBF2	downregulates-expression	HNF4A
NCOR1	downregulates-expression	IGFBP3
DUSP4	downregulates-expression	FOXO1
RELA	upregulates-expression	IFNG
CHD9	upregulates-expression	FADS1
H2AFB1	upregulates-expression	KDM4B
PARP1	downregulates-expression	FOXO1
SNAI1	downregulates-expression	CLDN3
STAT6	upregulates-expression	CCL17
STAT3	upregulates-expression	CCL11
NCOR2	downregulates-expression	ABCA1
NCOR1	downregulates-expression	ABCA1
DIO2	upregulates-expression	CTNNB1
HIF1A	downregulates-expression	CTNNB1
BRCA1	upregulates-expression	E2F1
E2F4	downregulates-expression	TTK
GATA1	upregulates-expression	DICER1
SIRT1	downregulates-expression	EGLN1
PROX1	downregulates-expression	CYP7A1
CCNK	upregulates-expression	ATM
CCNH	upregulates-expression	ATR
CCNK	upregulates-expression	ATR
CCNH	upregulates-expression	ATM
HNF1A	upregulates-expression	SLC22A9
RB1	upregulates-expression	BRD2
AR	upregulates-expression	EGFR
PAX8	downregulates-expression	TG
TP53	upregulates-expression	HGF
E2F1	upregulates-expression	MYCN
MYCN	upregulates-expression	E2F1
MYCN	upregulates-expression	E2F2
MYCN	upregulates-expression	E2F3
E2F6	downregulates-expression	TK1
NEUROG3	upregulates-expression	NKX2-2
FOXA1	upregulates-expression	SCGB1A1
SCGB1A1	upregulates-expression	FOXA2
TP53	upregulates-expression	GML
GML	upregulates-expression	TP53
SPG20	upregulates-expression	GLI2
CITED2	downregulates-expression	MMP13
EGR1	upregulates-expression	PTP4A1
PTP4A1	upregulates-expression	EGR1
JUN	upregulates-expression	KRT5
CBFB	upregulates-expression	BLK
THRAP3	upregulates-expression	FABP4
NFKB1	upregulates-expression	EBI3
BNIP3L	upregulates-expression	FOXO3
FOS	upregulates-expression	KRT17
HMOX1	upregulates-expression	SREBF1
RUNX1	upregulates-expression	JUN
DNMT1	downregulates-expression	CASP8
RUVBL1	upregulates-expression	PTMA
RUVBL2	upregulates-expression	PTMA
JUN	upregulates-expression	VCAM1
TRAC	upregulates-expression	FOS
CDK7	upregulates-expression	ATM
CDK9	upregulates-expression	ATM
CDK7	upregulates-expression	ATR
CDK9	upregulates-expression	ATR
SIRT1	downregulates-expression	PAX6
RELA	downregulates-expression	BHMT
SUPT7L	upregulates-expression	TERT
CDK4	upregulates-expression	FABP4
CEBPD	upregulates-expression	POU5F1
CDK8	upregulates-expression	FABP4
ATF2	upregulates-expression	DUSP10
LGALS3	upregulates-expression	CTNNB1
CDX2	upregulates-expression	APC
NRF1	upregulates-expression	CYCS
AR	upregulates-expression	CTNNB1
NR4A2	downregulates-expression	MMP1
LEF1	upregulates-expression	FGF4
PPARG	downregulates-expression	CFLAR
TFAP2A	downregulates-expression	HGF
HIST3H2BB	upregulates-expression	BCL2
PPARGC1A	upregulates-expression	NRF1
RNF187	upregulates-expression	CCND1
RUNX2	upregulates-expression	IHH
TP53	downregulates-expression	IGF1R
EGR1	upregulates-expression	SLC4A2
CHD9	upregulates-expression	ANKRD1
PATZ1	downregulates-expression	KLK3
RUNX1	upregulates-expression	IL2
SF1	upregulates-expression	SULT2A1
TP53	upregulates-expression	HTT
CBFB	upregulates-expression	CR1
E2F6	downregulates-expression	UXT
UXT	downregulates-expression	E2F6
SP2	downregulates-expression	MMP9
NFKB1	downregulates-expression	EPCAM
AR	upregulates-expression	NAT1
STAT4	downregulates-expression	RPLP0
SP1	upregulates-expression	KLK3
SP3	upregulates-expression	KLK3
WT1	downregulates-expression	CDC73
MYC	upregulates-expression	KRAS
SP3	upregulates-expression	TFF1
SRC	upregulates-expression	KLK2
NANOG	downregulates-expression	CDX2
IL20RA	upregulates-expression	STAT2
HELZ2	upregulates-expression	PCK1
ATM	upregulates-expression	GADD45A
NR3C1	downregulates-expression	MMP1
HDAC3	downregulates-expression	GATA2
GATA4	downregulates-expression	HDAC9
HTATIP2	downregulates-expression	SPP1
ITGA6	downregulates-expression	GLI2
SOX2	downregulates-expression	ISL1
CARM1	upregulates-expression	APOA1
CARM1	upregulates-expression	APOA2
CARM1	upregulates-expression	APOA5
EP300	upregulates-expression	PLIN1
E2F1	upregulates-expression	RASGEF1B
CNOT8	upregulates-expression	FOXO1
NFYA	upregulates-expression	DHCR7
NFYB	upregulates-expression	DHCR7
NFYC	upregulates-expression	DHCR7
HIPK2	downregulates-expression	HIF1A
HIC1	downregulates-expression	ACKR3
SP1	upregulates-expression	TERT
TERT	upregulates-expression	SP1
LPAR1	upregulates-expression	MMP2
NFKB1	upregulates-expression	BRCA2
SP1	upregulates-expression	BRD7
FOS	upregulates-expression	TCF7L2
STAT3	upregulates-expression	FOXO1
STAT3	upregulates-expression	FOXO3
IL1R1	upregulates-expression	CTNNB1
KLF8	upregulates-expression	MMP14
ATF2	upregulates-expression	IFNB1
MYB	upregulates-expression	KITLG
SMARCD3	upregulates-expression	ACSL1
AKR1C4	upregulates-expression	HNF1A
TCF4	upregulates-expression	VIM
